year,ELY centre,species,Number of enterprises,Area total (ha),Young population not yet yielding any crop (ha),Crop yielding population (ha),High tunnel cultivation (ha),Yield (1 000 kg),Yield (kg/ha)
2014,Uusimaa,Garden pea,52,..,..,..,..,1255,2290
2014,Uusimaa,Bean,17,..,..,..,..,12,3078
2014,Uusimaa,White cabbage,24,..,..,..,..,2811,29422
2014,Uusimaa,Savoy cabbage,4,..,..,..,..,46,17138
2014,Uusimaa,Red cabbage,43,..,..,..,..,789,27909
2014,Uusimaa,Cauliflover,21,..,..,..,..,1218,10666
2014,Uusimaa,Brussels sprout,3,..,..,..,..,3,5417
2014,Uusimaa,Sprouting broccoli,24,..,..,..,..,224,6250
2014,Uusimaa,Kohlrabi,7,..,..,..,..,27,9010
2014,Uusimaa,Chinese cabbage,3,..,..,..,..,1,5158
2014,Uusimaa,Carrot,21,..,..,..,..,385,44496
2014,Uusimaa,Red beet,17,..,..,..,..,14,6831
2014,Uusimaa,Swede,12,..,..,..,..,209,35072
2014,Uusimaa,Turnip,7,..,..,..,..,34,20387
2014,Uusimaa,Celeriac,6,..,..,..,..,2,6206
2014,Uusimaa,Parsnip,9,..,..,..,..,9,8602
2014,Uusimaa,Leek,8,..,..,..,..,5,9607
2014,Uusimaa,Gherkin,11,..,..,..,..,10,7992
2014,Uusimaa,Pumpkin,11,..,..,..,..,6,5717
2014,Uusimaa,Courgette,12,..,..,..,..,21,12783
2014,Uusimaa,Lettuces,..,..,..,..,..,..,..
2014,Uusimaa,Celery,2,..,..,..,..,..,..
2014,Uusimaa,Spinach,3,..,..,..,..,1,3125
2014,Uusimaa,Rhubarb,7,..,..,..,..,5,5278
2014,Uusimaa,Dill,25,..,..,..,..,47,2076
2014,Uusimaa,Parsley,7,..,..,..,..,2,2862
2014,Uusimaa,Garlic,10,..,..,..,..,5,2395
2014,Uusimaa,Sweet corn,12,..,..,..,..,2,894
2014,Uusimaa,Asparagus,2,..,..,..,..,..,..
2014,Uusimaa,Strawberry,58,..,..,152,..,588,3871
2014,Uusimaa,Black and green currant,27,..,..,25,..,5,204
2014,Uusimaa,Red currant,7,..,..,1,..,2,2679
2014,Uusimaa,White currant,3,..,..,3,..,0,12
2014,Uusimaa,Raspberry,17,..,..,4,..,4,824
2014,Uusimaa,Gooseberry,3,..,..,0,..,0,1067
2014,Uusimaa,Highbush blueberry,8,..,..,2,..,2,782
2014,Uusimaa,Sea buckthorn,2,..,..,..,..,..,..
2014,Uusimaa,Chokeberry (Aronia spp.),2,..,..,..,..,..,..
2014,Uusimaa,Apple,35,..,11,85,..,411,4311
2014,Southwest Finland,Garden pea,200,..,..,..,..,1983,1708
2014,Southwest Finland,Bean,26,..,..,..,..,46,1494
2014,Southwest Finland,White cabbage,34,..,..,..,..,1097,23873
2014,Southwest Finland,Savoy cabbage,1,..,..,..,..,..,..
2014,Southwest Finland,Red cabbage,9,..,..,..,..,181,24924
2014,Southwest Finland,Cauliflover,17,..,..,..,..,308,12005
2014,Southwest Finland,Brussels sprout,4,..,..,..,..,30,6398
2014,Southwest Finland,Sprouting broccoli,26,..,..,..,..,221,7342
2014,Southwest Finland,Kohlrabi,6,..,..,..,..,218,34933
2014,Southwest Finland,Chinese cabbage,1,..,..,..,..,..,..
2014,Southwest Finland,Carrot,90,..,..,..,..,23978,48526
2014,Southwest Finland,Red beet,37,..,..,..,..,1416,30105
2014,Southwest Finland,Swede,33,..,..,..,..,6230,41555
2014,Southwest Finland,Turnip,14,..,..,..,..,182,9986
2014,Southwest Finland,Celeriac,13,..,..,..,..,274,15427
2014,Southwest Finland,Parsnip,24,..,..,..,..,567,12763
2014,Southwest Finland,Leek,15,..,..,..,..,99,7194
2014,Southwest Finland,Gherkin,68,..,..,..,..,6940,51060
2014,Southwest Finland,Pumpkin,10,..,..,..,..,12,7004
2014,Southwest Finland,Courgette,24,..,..,..,..,1259,36739
2014,Southwest Finland,Lettuces,..,..,..,..,..,..,..
2014,Southwest Finland,Celery,4,..,..,..,..,10,2006
2014,Southwest Finland,Spinach,2,..,..,..,..,..,..
2014,Southwest Finland,Rhubarb,10,..,..,..,..,72,15853
2014,Southwest Finland,Dill,56,..,..,..,..,130,2474
2014,Southwest Finland,Parsley,12,..,..,..,..,7,3505
2014,Southwest Finland,Garlic,16,..,..,..,..,27,2844
2014,Southwest Finland,Sweet corn,22,..,..,..,..,43,2699
2014,Southwest Finland,Asparagus,10,..,..,..,..,2,238
2014,Southwest Finland,Strawberry,161,..,..,433,..,2123,4907
2014,Southwest Finland,Black and green currant,33,..,..,20,..,24,1187
2014,Southwest Finland,Red currant,9,..,..,2,..,3,1443
2014,Southwest Finland,White currant,3,..,..,1,..,..,..
2014,Southwest Finland,Raspberry,54,..,..,40,..,86,2162
2014,Southwest Finland,Gooseberry,8,..,..,1,..,3,3150
2014,Southwest Finland,Highbush blueberry,21,..,..,14,..,34,2456
2014,Southwest Finland,Sea buckthorn,13,..,..,4,..,2,548
2014,Southwest Finland,Chokeberry (Aronia spp.),4,..,..,..,..,..,..
2014,Southwest Finland,Apple,63,..,17,146,..,647,3978
2014,Satakunta,Garden pea,109,..,..,..,..,3083,3562
2014,Satakunta,Bean,2,..,..,..,..,..,..
2014,Satakunta,White cabbage,24,..,..,..,..,6203,50015
2014,Satakunta,Savoy cabbage,1,..,..,..,..,..,..
2014,Satakunta,Red cabbage,4,..,..,..,..,50,29663
2014,Satakunta,Cauliflover,16,..,..,..,..,270,10023
2014,Satakunta,Brussels sprout,..,..,..,..,..,..,..
2014,Satakunta,Sprouting broccoli,12,..,..,..,..,174,6967
2014,Satakunta,Kohlrabi,2,..,..,..,..,..,..
2014,Satakunta,Chinese cabbage,1,..,..,..,..,..,..
2014,Satakunta,Carrot,45,..,..,..,..,15691,39441
2014,Satakunta,Red beet,28,..,..,..,..,9733,30460
2014,Satakunta,Swede,23,..,..,..,..,5629,46134
2014,Satakunta,Turnip,3,..,..,..,..,290,21664
2014,Satakunta,Celeriac,5,..,..,..,..,174,27366
2014,Satakunta,Parsnip,11,..,..,..,..,982,28595
2014,Satakunta,Leek,6,..,..,..,..,56,19580
2014,Satakunta,Gherkin,15,..,..,..,..,2057,52009
2014,Satakunta,Pumpkin,1,..,..,..,..,..,..
2014,Satakunta,Courgette,4,..,..,..,..,23,20619
2014,Satakunta,Lettuces,..,..,..,..,..,..,..
2014,Satakunta,Celery,..,..,..,..,..,..,..
2014,Satakunta,Spinach,5,..,..,..,..,853,21025
2014,Satakunta,Rhubarb,..,..,..,..,..,..,..
2014,Satakunta,Dill,11,..,..,..,..,7,1557
2014,Satakunta,Parsley,1,..,..,..,..,..,..
2014,Satakunta,Garlic,5,..,..,..,..,1,1065
2014,Satakunta,Sweet corn,3,..,..,..,..,1,2857
2014,Satakunta,Asparagus,3,..,..,..,..,0,201
2014,Satakunta,Strawberry,50,..,..,137,..,471,3435
2014,Satakunta,Black and green currant,11,..,..,6,..,2,373
2014,Satakunta,Red currant,2,..,..,..,..,..,..
2014,Satakunta,White currant,..,..,..,..,..,..,..
2014,Satakunta,Raspberry,22,..,..,14,..,21,1483
2014,Satakunta,Gooseberry,2,..,..,..,..,..,..
2014,Satakunta,Highbush blueberry,7,..,..,2,..,1,782
2014,Satakunta,Sea buckthorn,8,..,..,6,..,0,80
2014,Satakunta,Chokeberry (Aronia spp.),..,..,..,..,..,..,..
2014,Satakunta,Apple,7,..,1,4,..,6,1360
2014,Häme,Garden pea,67,..,..,..,..,227,997
2014,Häme,Bean,5,..,..,..,..,1,3668
2014,Häme,White cabbage,8,..,..,..,..,606,42168
2014,Häme,Savoy cabbage,2,..,..,..,..,..,..
2014,Häme,Red cabbage,7,..,..,..,..,138,23504
2014,Häme,Cauliflover,5,..,..,..,..,0,397
2014,Häme,Brussels sprout,3,..,..,..,..,..,..
2014,Häme,Sprouting broccoli,6,..,..,..,..,5,3039
2014,Häme,Kohlrabi,3,..,..,..,..,1,13000
2014,Häme,Chinese cabbage,3,..,..,..,..,161,11416
2014,Häme,Carrot,29,..,..,..,..,17813,50235
2014,Häme,Red beet,21,..,..,..,..,912,26141
2014,Häme,Swede,10,..,..,..,..,777,45931
2014,Häme,Turnip,3,..,..,..,..,11,3404
2014,Häme,Celeriac,4,..,..,..,..,1,7853
2014,Häme,Parsnip,8,..,..,..,..,114,12316
2014,Häme,Leek,7,..,..,..,..,1,4087
2014,Häme,Gherkin,6,..,..,..,..,18,24151
2014,Häme,Pumpkin,8,..,..,..,..,13,8276
2014,Häme,Courgette,9,..,..,..,..,153,35435
2014,Häme,Lettuces,..,..,..,..,..,..,..
2014,Häme,Celery,1,..,..,..,..,..,..
2014,Häme,Spinach,..,..,..,..,..,..,..
2014,Häme,Rhubarb,3,..,..,..,..,1,4231
2014,Häme,Dill,18,..,..,..,..,7,756
2014,Häme,Parsley,5,..,..,..,..,0,510
2014,Häme,Garlic,5,..,..,..,..,0,1815
2014,Häme,Sweet corn,8,..,..,..,..,2,1126
2014,Häme,Asparagus,2,..,..,..,..,..,..
2014,Häme,Strawberry,81,..,..,336,..,1328,3955
2014,Häme,Black and green currant,37,..,..,25,..,16,612
2014,Häme,Red currant,13,..,..,7,..,10,1474
2014,Häme,White currant,2,..,..,..,..,..,..
2014,Häme,Raspberry,44,..,..,29,..,85,2891
2014,Häme,Gooseberry,3,..,..,0,..,0,617
2014,Häme,Highbush blueberry,17,..,..,6,..,15,2284
2014,Häme,Sea buckthorn,8,..,..,4,..,2,487
2014,Häme,Chokeberry (Aronia spp.),5,..,..,2,..,1,435
2014,Häme,Apple,17,..,11,11,..,98,4450
2014,Pirkanmaa,Garden pea,26,..,..,..,..,27,969
2014,Pirkanmaa,Bean,3,..,..,..,..,0,2154
2014,Pirkanmaa,White cabbage,16,..,..,..,..,1117,35015
2014,Pirkanmaa,Savoy cabbage,..,..,..,..,..,..,..
2014,Pirkanmaa,Red cabbage,3,..,..,..,..,1,4792
2014,Pirkanmaa,Cauliflover,8,..,..,..,..,63,6289
2014,Pirkanmaa,Brussels sprout,2,..,..,..,..,..,..
2014,Pirkanmaa,Sprouting broccoli,10,..,..,..,..,50,1840
2014,Pirkanmaa,Kohlrabi,2,..,..,..,..,..,..
2014,Pirkanmaa,Chinese cabbage,2,..,..,..,..,..,..
2014,Pirkanmaa,Carrot,14,..,..,..,..,826,31658
2014,Pirkanmaa,Red beet,7,..,..,..,..,6,18617
2014,Pirkanmaa,Swede,5,..,..,..,..,6,13338
2014,Pirkanmaa,Turnip,1,..,..,..,..,..,..
2014,Pirkanmaa,Celeriac,2,..,..,..,..,..,..
2014,Pirkanmaa,Parsnip,2,..,..,..,..,..,..
2014,Pirkanmaa,Leek,5,..,..,..,..,17,7686
2014,Pirkanmaa,Gherkin,4,..,..,..,..,8,17565
2014,Pirkanmaa,Pumpkin,2,..,..,..,..,..,..
2014,Pirkanmaa,Courgette,7,..,..,..,..,4,9267
2014,Pirkanmaa,Lettuces,..,..,..,..,..,..,..
2014,Pirkanmaa,Celery,..,..,..,..,..,..,..
2014,Pirkanmaa,Spinach,1,..,..,..,..,..,..
2014,Pirkanmaa,Rhubarb,3,..,..,..,..,1,3493
2014,Pirkanmaa,Dill,10,..,..,..,..,3,977
2014,Pirkanmaa,Parsley,3,..,..,..,..,0,987
2014,Pirkanmaa,Garlic,3,..,..,..,..,4,3500
2014,Pirkanmaa,Sweet corn,5,..,..,..,..,5,4774
2014,Pirkanmaa,Asparagus,3,..,..,..,..,0,209
2014,Pirkanmaa,Strawberry,47,..,..,97,..,556,5728
2014,Pirkanmaa,Black and green currant,26,..,..,57,..,44,767
2014,Pirkanmaa,Red currant,10,..,..,17,..,32,1862
2014,Pirkanmaa,White currant,4,..,..,0,..,0,1780
2014,Pirkanmaa,Raspberry,30,..,..,19,..,35,1887
2014,Pirkanmaa,Gooseberry,4,..,..,0,..,0,1425
2014,Pirkanmaa,Highbush blueberry,9,..,..,6,..,6,953
2014,Pirkanmaa,Sea buckthorn,5,..,..,3,..,1,308
2014,Pirkanmaa,Chokeberry (Aronia spp.),5,..,..,16,..,4,269
2014,Pirkanmaa,Apple,12,..,8,6,..,19,1353
2014,Southeast Finland,Garden pea,33,..,..,..,..,58,668
2014,Southeast Finland,Bean,5,..,..,..,..,1,4738
2014,Southeast Finland,White cabbage,18,..,..,..,..,550,27267
2014,Southeast Finland,Savoy cabbage,1,..,..,..,..,..,..
2014,Southeast Finland,Red cabbage,5,..,..,..,..,15,9790
2014,Southeast Finland,Cauliflover,14,..,..,..,..,56,5899
2014,Southeast Finland,Brussels sprout,1,..,..,..,..,..,..
2014,Southeast Finland,Sprouting broccoli,9,..,..,..,..,11,2760
2014,Southeast Finland,Kohlrabi,7,..,..,..,..,5,11261
2014,Southeast Finland,Chinese cabbage,2,..,..,..,..,..,..
2014,Southeast Finland,Carrot,24,..,..,..,..,780,27450
2014,Southeast Finland,Red beet,16,..,..,..,..,52,15016
2014,Southeast Finland,Swede,17,..,..,..,..,113,11578
2014,Southeast Finland,Turnip,5,..,..,..,..,1,431
2014,Southeast Finland,Celeriac,2,..,..,..,..,..,..
